tsne-2d-one,tsne-2d-two,cluster
-56.041885,7.949747,4
-14.796087,-1.5009739,1
-16.601067,-11.488567,2
44.876316,12.194157,3
-41.76747,-11.68447,1
73.836334,12.787396,0
-75.08723,-4.402037,4
-0.58857256,22.753073,3
-23.154932,5.9210663,1
-37.329002,-7.627598,1
-17.620047,-8.904132,1
-18.819918,-3.9174058,3
32.989098,19.56658,0
-69.10657,-8.150111,4
-28.551542,-24.274876,1
-32.17158,-23.320374,1
2.3532732,-27.75376,2
-50.265217,-12.662649,4
2.4908645,-31.73981,2
-62.06676,8.713075,4
-43.070465,-13.452364,1
-26.19611,-1.4886285,1
26.394989,0.32299924,2
-25.799412,13.227295,1
-77.541725,-8.004885,4
16.322626,16.842506,2
67.059204,17.933874,0
-33.680397,-13.98703,1
-67.25883,4.666938,4
3.361901,3.9132063,2
-13.391124,7.01603,3
47.141163,9.260669,0
57.165665,10.6189,0
-48.60102,8.1693,1
64.167244,19.104992,0
24.467482,-4.5170674,2
-69.77592,8.738123,4
-33.347652,-4.878893,1
-43.405018,-5.51161,1
-41.39043,-14.114606,1
28.243292,6.031935,0
32.96937,10.998381,2
-31.664154,7.8470917,1
-31.030237,-6.960181,1
-70.21839,-6.9762206,4
-15.654419,-8.710812,1
47.27411,5.024863,0
-58.975716,-7.776006,4
12.943686,10.493276,3
6.364405,-8.56709,3
-48.14489,-5.7862854,4
2.0285623,-12.258271,2
-36.8199,-10.316035,1
-12.639633,-7.0056777,1
72.48826,13.255997,0
26.90036,-26.776522,2
-50.621902,-4.881396,4
-14.12759,-17.779387,1
-33.818623,-16.251389,1
0.83958036,17.558828,3
55.52808,11.106317,0
-55.44979,11.996421,4
-73.148125,4.511074,4
-60.39063,-7.8475013,4
-63.106625,10.610743,4
-44.484043,-7.5432677,4
8.243689,10.583459,3
-29.96989,-19.79837,1
-40.126003,-21.108528,1
6.3793235,-8.571514,3
-46.3366,-22.477007,1
-19.855951,-14.976809,2
-15.867644,-9.301092,1
-9.361085,-17.81517,2
-41.767754,-11.684562,1
-4.4764633,1.7559261,2
-30.226236,-1.6750966,1
-1.3309224,12.909606,3
72.243866,12.124271,0
55.47533,10.134223,0
-13.407781,9.991243,3
-40.461956,-9.45702,1
8.274255,-33.743244,2
-29.825619,17.446795,1
-29.251356,0.03266597,1
-62.66098,-11.469864,4
-25.958065,-24.443089,1
26.147848,-13.732476,2
26.607992,-12.584335,2
-8.67442,13.230769,3
30.380733,-28.500986,2
71.08192,3.3508406,0
12.943327,10.49292,3
-30.196114,-4.1174417,1
70.52946,16.267565,0
-35.31669,32.24589,1
-68.36159,11.130684,4
34.6207,38.60818,2
-33.7622,-13.796478,1
0.9666518,-38.39638,2
-24.380512,-28.396332,2
61.556873,7.0998797,0
31.173546,-28.959116,0
-4.0156336,7.389246,3
-10.192077,40.28601,3
-49.086704,-14.981556,1
-36.89166,-22.982359,1
-32.757717,-29.121851,1
-16.777334,-26.861956,2
-9.894975,-13.650318,2
23.952288,27.48289,2
3.3959312,35.830456,3
-53.20407,5.568098,4
-47.424603,-15.05342,1
19.585981,12.816945,2
6.22843,-8.832822,3
-53.204292,5.5686693,4
-15.818638,-22.238989,2
-5.1601014,-26.897732,1
-43.959812,-15.092797,4
71.08092,3.3525116,0
-2.7188673,-3.4691982,2
38.577507,2.0214686,0
-36.901657,-22.951157,1
-16.641846,-3.4146855,3
-32.17161,-23.319872,1
-25.956984,-24.446089,1
39.622787,24.77328,0
-43.958084,-15.091677,4
-14.011828,-20.535856,1
-11.959398,-13.140443,3
-14.0242195,-20.534113,1
-38.146152,-2.1926823,1
-24.37786,-28.377485,2
26.635155,-39.24523,2
-29.979406,-19.78781,1
-47.441467,-15.012721,1
24.398796,27.745378,2
33.75725,-33.788734,2
9.2803135,36.46265,3
-35.316692,32.245277,1
-2.7122476,-3.4659946,2
-43.404964,-5.5115037,1
-10.20296,40.289566,3
-9.769286,7.954485,2
-10.203013,40.289547,3
19.560776,12.836937,3
24.719473,-33.48767,2
-27.733147,42.268066,1
-41.76726,-11.684691,1
-42.040676,-16.26251,4
-72.511154,-5.10494,4
-50.483227,-19.876783,1
4.16623,35.03107,3
3.2285583,36.014793,3
38.46491,8.409217,0
-15.818629,-22.239025,2
34.620235,38.607967,2
-55.740044,-11.850573,4
60.34135,6.1470966,0
-36.90196,-13.889076,1
-59.519913,-2.9632192,4
-18.006742,-15.519262,2
-58.337517,-5.506179,4
-39.134678,3.4547255,1
-36.015663,-2.0058086,1
-16.522852,-13.589851,1
15.548348,1.3666362,3
2.4526498,-31.436213,2
3.867441,41.931812,3
-16.775991,-26.846703,2
-34.50434,-12.298191,1
-9.060191,-23.541193,2
38.82969,2.3302627,0
-62.432323,2.7923841,4
-26.349102,-11.716736,1
-33.679653,-13.985778,1
56.95629,-9.975742,3
-46.336617,-22.476625,1
29.846397,-15.936933,2
-28.367588,18.510582,1
-69.75597,8.509685,4
-14.79626,-1.501042,1
-51.327477,5.4592404,4
-32.19788,-17.779634,1
-31.359552,1.9906282,1
-10.91637,10.6341,3
-1.0836416,-27.188345,1
-0.68602306,19.197891,3
-64.8945,-11.314505,4
-64.89469,-11.314364,4
4.506604,-33.172874,2
7.584946,4.784546,3
-10.623789,5.8377047,1
-21.981258,-11.087894,1
-29.97505,-19.791065,1
-28.551558,-24.275173,1
-44.197536,4.0660467,4
-20.04385,-0.45531878,1
1.4968861,-6.5480123,2
-4.4440317,-11.586806,2
-61.900967,5.40816,4
8.788334,27.615149,3
5.1755238,-24.155828,2
-60.121872,8.054434,4
-31.626553,-26.824183,2
-58.759354,-4.1497493,4
44.43363,-6.477381,3
26.852095,9.563719,2
-43.978024,-3.555212,4
-9.824295,-10.690315,2
-29.99211,-22.87973,1
-26.925884,-16.344622,1
-15.279022,4.899554,2
27.116781,-1.980959,3
-16.439405,4.4879527,2
44.93523,-10.4031,3
-50.644257,-10.236413,4
-18.16332,-7.248922,1
-37.90172,-4.104758,1
-5.567354,-24.418787,2
27.613209,-24.248556,2
-42.66295,-18.302553,1
53.935707,13.523147,0
-5.716512,-7.4970174,1
31.76974,-18.128525,0
3.7613142,-9.422947,2
46.20728,5.6225224,0
-38.930447,11.923071,1
20.058926,7.2786813,2
-26.104792,-17.736498,1
-6.5710855,-32.97503,2
-41.578384,-8.394609,1
-73.84912,-5.4887786,4
-16.063139,1.1018007,1
38.872997,-2.5044239,0
-22.738998,10.408019,1
-61.117294,0.90283006,4
19.402096,-8.343626,2
-10.6217985,5.840474,1
-16.75691,18.881657,1
-50.264996,-4.3299613,4
14.309289,29.49132,3
-32.777313,-3.7541184,1
-57.757263,1.0649607,4
-12.215276,-17.571938,2
-42.03037,-16.2647,4
71.19834,4.2206826,0
67.395454,16.51168,0
-69.01557,6.915956,4
31.161572,-28.958002,2
24.091738,0.25109005,2
-70.10289,7.010799,4
16.981636,6.2416153,2
-67.6414,4.401942,4
0.96640825,-38.389988,2
-35.316463,32.245255,1
-67.40032,3.8824403,4
70.52913,16.266235,0
-45.165398,-9.0460415,1
-20.733908,-6.6852765,1
6.236523,7.6361513,3
-73.03551,-7.3363194,4
-69.28926,5.66634,4
40.787354,15.024681,0
-47.41579,7.374999,4
-48.039803,7.0401363,4
-50.848255,-8.295499,4
61.456863,7.0077558,0
-55.127026,-10.210014,4
-49.147526,-4.3526616,4
-10.862084,-37.2418,2
-72.09887,-0.80119234,4
-54.691666,-0.32766315,4
-37.422737,-2.8467543,1
-6.2123837,-15.883095,1
-73.148125,4.511074,4
35.446114,3.5103016,0
-51.988064,-9.602968,4
8.636945,1.5044075,3
14.845562,-0.86105585,3
16.551731,21.19014,3
14.309484,29.490917,3
-16.062937,1.1031399,1
-37.810493,-13.010623,1
72.47949,13.401754,0
8.296527,-22.407381,2
-18.088293,3.8482559,2
26.597075,11.097041,0
-23.32412,-7.280905,1
25.302122,18.99186,3
49.87378,10.347837,0
-55.818928,2.999283,4
-4.4435234,-11.58671,2
-60.388687,-7.846302,4
